x,y,u,v
2.99999999998999e-05,4e-05,1.1090318491132312,0.01526766
3.9999999999899925e-05,4e-05,1.116386269,0.018309401
4.999999999989995e-05,4e-05,1.1095219828821783,0.025047347
5.999999999989998e-05,4e-05,1.1145186290022586,0.028584209
6.99999999999e-05,4e-05,1.0900513856238134,0.036142289
7.999999999990003e-05,4e-05,1.0813014665170342,0.04472274
8.99999999999998e-05,4e-05,1.0612992162722688,0.051753656
9.999999999999983e-05,4e-05,1.0599778241812303,0.059168646
0.00011,4e-05,1.0348951526177554,0.0629982
0.00012,4e-05,1.016821575428815,0.06915281
0.00013,4e-05,0.9967547952741006,0.071552337
0.00014,4e-05,0.9680069718163952,0.07156678
0.00015,4e-05,0.941055289,0.06881548
0.00016,4e-05,0.9128383125926948,0.065093295
0.00017,4e-05,0.8901328805910353,0.058620125
0.00018,4e-05,0.8671606424713941,0.050472319
0.00019,4e-05,0.8409220913028252,0.038408348
0.0002,4e-05,0.8353151123983753,0.027829228
0.00021,4e-05,0.8181028725118076,0.014682491
0.00022,4e-05,0.8179063840416272,0.002350013
0.00023,4e-05,0.8044663196762778,-0.013239482
0.00024,4e-05,0.8073653444074018,-0.027364319
0.00025,4e-05,0.8119199972570517,-0.044562637
0.00026,4e-05,0.8175621389858573,-0.060257192
0.00027,4e-05,0.8416405101927596,-0.072779937
0.00028,4e-05,0.8617203914257497,-0.087275381
0.00029,4e-05,0.8789054256913842,-0.0974341
0.0003,4e-05,0.9090301634902576,-0.10513323
0.00031,4e-05,0.9458296925898286,-0.10756187
0.00032,4e-05,0.9833763694876332,-0.105210002
0.00033,4e-05,1.018195001653867,-0.100150182
0.00034,4e-05,1.0436435916435682,-0.088971649
0.00035,4e-05,1.0625621887190395,-0.075522899
0.00036,4e-05,1.0679649657665988,-0.059516983
0.00037,4e-05,1.0998568622643394,-0.049535497
0.00038,4e-05,1.1089589014959018,-0.034903797
0.00039,4e-05,1.1348830650298232,-0.026999991
